date,spx,spx_timestamp,spx_n_bars,vix,vix_timestamp,vix_n_bars,vix3m,vix3m_timestamp,vix3m_n_bars,vix6m,vix6m_timestamp,vix6m_n_bars,spx_log_return,sq_log_return,iv_1m,iv_3m,iv_6m,rv_1m,rv_1m_end_date,rv_1m_n_returns,rv_3m,rv_3m_end_date,rv_3m_n_returns,rv_6m,rv_6m_end_date,rv_6m_n_returns,vrp_1m,vrp_3m,vrp_6m,iv_slope_3m_1m,iv_slope_6m_3m,vrp_slope_3m_1m,vrp_slope_6m_3m
2014-06-04,1927.74,2014-06-04 16:00:00,391,12.09,2014-06-04 16:00:00,390,13.78,2014-06-04 16:00:00,390,15.59,2014-06-04 16:00:00,390,,,0.01461681,0.01898884,0.024304810000000003,0.00422055556406008,2014-07-07,22.0,0.006965426212495897,2014-09-05,65.0,0.01108014590481464,2014-12-05,129.0,0.01039625443593992,0.012023413787504104,0.013224664095185364,0.004372030000000001,0.005315970000000003,0.0016271593515641836,0.0012012503076812599
2014-06-05,1940.29,2014-06-05 16:00:00,391,11.71,2014-06-05 16:00:00,390,13.45,2014-06-05 16:00:00,390,15.33,2014-06-05 16:00:00,390,0.006489114116771864,4.210860202048789e-05,0.013712410000000003,0.018090249999999995,0.023500889999999997,0.003916231176198038,2014-07-07,21.0,0.006837724974917129,2014-09-08,65.0,0.011097820652619935,2014-12-08,129.0,0.009796178823801965,0.011252525025082866,0.012403069347380061,0.004377839999999992,0.005410640000000001,0.0014563462012809007,0.0011505443222971957
2014-06-06,1949.31,2014-06-06 16:00:00,391,10.79,2014-06-06 16:00:00,390,12.78,2014-06-06 16:00:00,390,14.83,2014-06-06 16:00:00,390,0.004638017363867851,2.1511205067539692e-05,0.011642409999999999,0.016332839999999998,0.021992889999999998,0.003841001551156941,2014-07-07,20.0,0.006859864057696771,2014-09-08,64.0,0.011142172191491809,2014-12-08,128.0,0.0078014084488430575,0.009472975942303227,0.010850717808508189,0.004690429999999999,0.00566005,0.001671567493460169,0.001377741866204962
2014-06-09,1951.25,2014-06-09 16:00:00,391,11.07,2014-06-09 16:00:00,390,12.99,2014-06-09 16:00:00,390,15.02,2014-06-09 16:00:00,390,0.0009947290440177605,9.894858710124877e-07,0.012254490000000002,0.016874010000000005,0.02256004,0.0044723048127460275,2014-07-09,21.0,0.00696833993252585,2014-09-10,65.0,0.011577496713269353,2014-12-10,129.0,0.007782185187253974,0.009905670067474155,0.010982543286730647,0.004619520000000004,0.005686029999999995,0.0021234848802201807,0.0010768732192564922
2014-06-10,1950.86,2014-06-10 16:00:00,391,11.05,2014-06-10 16:00:00,390,13.02,2014-06-10 16:00:00,390,14.98,2014-06-10 16:00:00,390,-0.00019989185404754137,3.995675331456358e-08,0.01221025,0.016952039999999995,0.022440040000000005,0.004674954068043563,2014-07-10,21.0,0.006970737445558318,2014-09-11,65.0,0.011615701462103037,2014-12-11,129.0,0.007535295931956437,0.009981302554441678,0.010824338537896968,0.004741789999999994,0.00548800000000001,0.00244600662248524,0.0008430359834552901
2014-06-11,1943.99,2014-06-11 16:00:00,391,11.63,2014-06-11 16:00:00,390,13.28,2014-06-11 16:00:00,390,15.16,2014-06-11 16:00:00,390,-0.0035277390013623406,1.2444942461732964e-05,0.013525690000000003,0.01763584,0.022982560000000003,0.004550476779789528,2014-07-11,21.0,0.007059067600882702,2014-09-12,65.0,0.012098205389507441,2014-12-12,129.0,0.008975213220210476,0.010576772399117298,0.010884354610492562,0.0041101499999999964,0.005346720000000003,0.0016015591789068223,0.00030758221137526347
2014-06-12,1930.05,2014-06-12 16:00:00,391,12.58,2014-06-12 16:00:00,390,14.04,2014-06-12 16:00:00,390,15.69,2014-06-12 16:00:00,390,-0.007196652675123124,5.179180972635681e-05,0.01582564,0.01971216,0.024617609999999995,0.0042120876737909915,2014-07-14,21.0,0.006860343825712431,2014-09-15,65.0,0.012084149503280989,2014-12-15,129.0,0.011613552326209007,0.012851816174287569,0.012533460496719006,0.003886520000000001,0.004905449999999995,0.001238263848078562,-0.0003183556775685631
2014-06-13,1935.97,2014-06-13 16:00:00,391,12.04,2014-06-13 16:00:00,390,13.82,2014-06-13 16:00:00,390,15.56,2014-06-13 16:00:00,390,0.003062583549582793,9.37941799817514e-06,0.014496159999999998,0.019099239999999996,0.024211360000000005,0.004304511390703535,2014-07-14,20.0,0.006930605239621373,2014-09-15,64.0,0.012160091192091467,2014-12-15,128.0,0.010191648609296462,0.012168634760378622,0.012051268807908537,0.004603079999999999,0.005112120000000008,0.0019769861510821607,-0.00011736595247008492
2014-06-16,1937.78,2014-06-16 16:00:00,391,12.64,2014-06-16 16:00:00,390,13.93,2014-06-16 16:00:00,390,15.7,2014-06-16 16:00:00,390,0.0009344950663929843,8.732810291128283e-07,0.015976960000000002,0.019404490000000003,0.024649,0.00432973804163242,2014-07-16,21.0,0.007044005548219179,2014-09-17,65.0,0.0129803145689391,2014-12-17,129.0,0.011647221958367582,0.012360484451780824,0.0116686854310609,0.0034275300000000015,0.005244509999999997,0.0007132624934132418,-0.0006917990207199239
2014-06-17,1942.09,2014-06-17 16:00:00,391,12.2,2014-06-17 15:59:00,389,13.66,2014-06-17 16:00:00,390,15.5,2014-06-17 16:00:00,390,0.002221724837620162,4.936061254098336e-06,0.014884,0.01865956,0.024025,0.005943811092636876,2014-07-17,21.0,0.007118677438676871,2014-09-18,65.0,0.014069090928969335,2014-12-18,129.0,0.008940188907363124,0.011540882561323127,0.009955909071030666,0.003775559999999999,0.005365440000000003,0.0026006936539600036,-0.001584973490292461
